timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591772668858,6286,Registration,200,OK,Thread Group 1-4,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,6037,0,807
1591772668838,6259,Registration,200,OK,Thread Group 1-11,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,6186,0,830
1591772669589,5511,Registration,200,OK,Thread Group 1-26,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,5347,0,65
1591772669985,5114,Registration,200,OK,Thread Group 1-36,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,4981,0,0
1591772669581,5511,Sign-up,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-26,,true,,2879,689,50,50,null,5347,530,65
1591772669984,5114,Sign-up,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-36,,true,,2879,689,50,50,null,4981,524,0
1591772669587,5515,Registration,200,OK,Thread Group 1-24,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,5452,0,75
1591772669662,5431,Registration,200,OK,Thread Group 1-19,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,5286,0,1
1591772669582,5515,Sign-up,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-24,,true,,2879,689,50,50,null,5452,565,75
1591772669583,5521,Registration,200,OK,Thread Group 1-13,text,true,,2887,689,50,50,http://localhost:1080/cgi-bin/login.pl,5362,0,81
1591772668788,5521,Sign-up,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-13,,true,,2887,689,50,50,null,5362,1356,81
1591772668858,6341,Registration,200,OK,Thread Group 1-2,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,6218,0,808
1591772670202,4898,Registration,200,OK,Thread Group 1-50,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,4872,0,0
1591772669590,5516,Registration,200,OK,Thread Group 1-28,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,5469,0,59
1591772668853,6253,Registration,200,OK,Thread Group 1-9,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,6075,0,814
1591772669586,5525,Registration,200,OK,Thread Group 1-23,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,5456,0,76
1591772669655,5451,Registration,200,OK,Thread Group 1-34,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,5403,0,1
1591772668815,6295,Registration,200,OK,Thread Group 1-1,text,true,,2886,688,50,50,http://localhost:1080/cgi-bin/login.pl,6246,0,818
1591772670071,5042,Registration,200,OK,Thread Group 1-41,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,4938,0,1
1591772669582,5536,Registration,200,OK,Thread Group 1-12,text,true,,2887,689,50,50,http://localhost:1080/cgi-bin/login.pl,5372,0,82
1591772669656,5462,Registration,200,OK,Thread Group 1-31,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,5263,0,1
1591772670166,4956,Registration,200,OK,Thread Group 1-49,text,true,,2879,689,50,50,http://localhost:1080/cgi-bin/login.pl,4908,0,0
